,preprocessing_without_emoticons,preprocessing_with_emoticons,class
14587,"['might', 'reaction', 'everyone', 'said', 'brand', 'trash', 'yet']","['YOU', 'might', 'reaction', 'everyone', 'said', 'brand', 'trash', 'yet']",1
14588,"['u', 'let', 'say', 'u', 'got', 'like', 'body', 'u', 'def', 'dealing']","['u', 'let', 'say', 'u', 'got', 'like', 'body', 'u', 'def', 'dealing']",1
14589,"['telephone', 'bill', 'month']","['telephone', 'bill', 'month']",1
14590,"['bitch', 'sweetheart', 'u', 'feel']","['bitch', 'sweetheart', 'u', 'feel']",1
14591,"['feel', 'like', 'tim', 'ross', 'nigger']","['feel', 'like', 'tim', 'ross', 'nigger']",0
14592,"['brush', 'hoe', 'psychic']","['brush', 'hoe', 'psychic']",1
14593,['commandment'],['commandment'],1
14594,"['put', 'hoe', 'girlfriend', 'sleepy']","['put', 'hoe', 'girlfriend', '😴']",1
14595,"['night', 'cheat', 'even', 'know', 'bitch', 'name', 'shit', 'aunt', 'cheating']","['night', 'cheat', 'even', 'know', 'bitch', 'name', 'shit', 'aunt', 'cheating']",1
14596,"['sorority', 'girl', 'absolute', 'worst', 'bitch']","['sorority', 'girl', 'absolute', 'worst', 'bitch']",1
14597,"['bust', 'dat', 'pussy', 'wide', 'open']","['bust', 'dat', 'pussy', 'wide', 'OPEN']",1
14598,"['tell', 'bitch', 'dont', 'shit', 'unless', 'u', 'sucking', 'fuckin']","['tell', 'bitch', 'dont', 'shit', 'unless', 'u', 'sucking', 'fuckin']",1
14599,"['bitch', 'love', 'wyandanch', 'night', 'tell', 'always', 'see', 'bitch', 'wit', 'keep', 'front']","['bitch', 'love', 'wyandanch', 'night', 'tell', 'always', 'see', 'bitch', 'wit', 'keep', 'front']",1
14600,"['tell', 'girl', 'never', 'eat', 'pussy', 'u', 'lost', 'mean', 'sex', 'boring']","['tell', 'girl', 'never', 'eat', 'pussy', 'u', 'lost', 'mean', 'sex', 'boring']",1
14601,"['thing', 'cong']","['thing', 'cong']",0
14602,"['like', 'wasp', 'bitch', 'hut', 'nothing', 'thought']","['like', 'wasp', 'bitch', '!', 'hut', 'nothing', 'thought']",1
14603,"['hell', 'yea', 'ill', 'rep', 'shirt', 'teamdonny']","['hell', 'yea', 'ill', 'rep', 'shirt', 'teamdonny', '👊', '👊']",1
14604,"['tucked', 'car', 'gutta', 'know', 'laugh']","['tucked', 'car', 'gutta', 'know', '😂']",1
14605,"['know', 'data', 'whore', 'get', 'rid', 'donate', 'one', 'bitch']","['know', '!', 'data', 'whore', 'get', 'rid', 'donate', 'one', 'bitch']",1
14606,"['bitch', 'stupid', 'get', 'created', 'man', 'anna', 'go', 'fight', 'girl', 'bitch', 'leave', 'nigga', 'move']","['bitch', 'stupid', 'get', 'created', 'THEY', 'MAN', 'anna', 'go', 'fight', 'girl', 'BITCH', 'leave', 'nigga', 'move']",1
14607,"['ooh', 'yea', 'getting', 'hoe']","['ooh', 'yea', '!', '!', 'getting', 'hoe', '!']",1
14608,"['stupid', 'bitch', 'aunt', 'fuckin', 'bug', 'seen', 'voice']","['stupid', 'bitch', 'aunt', 'fuckin', 'bug', 'seen', 'voice']",1
14609,"['call', 'girl', 'bitch', 'get', 'offended', 'u', 'put', 'bad', 'front', 'swear', 'queen']","['call', 'girl', 'bitch', 'get', 'offended', 'u', 'put', 'bad', 'front', 'swear', 'queen']",1
14610,"['dumb', 'bitch']","['dumb', 'bitch']",1
14611,"['element', 'number', 'promise', 'come', 'number', 'ho', 'holmium', 'therefore', 'brow', 'hoe']","['element', 'number', 'promise', 'come', 'number', 'ho', 'holmium', 'therefore', 'brow', 'hoe']",1
14612,"['flirting', 'bitch', 'twitter', 'like']","['flirting', 'bitch', 'twitter', 'like']",1
14613,"['freeze', 'bitch', 'donna', 'steal', 'heart']","['freeze', 'bitch', 'donna', 'steal', 'heart']",1
14614,"['get', 'unlimited', 'pussy', 'high', 'school']","['get', 'unlimited', 'pussy', 'high', 'school']",1
14615,"['drop', 'song', 'together', 'bitch', 'never', 'run', 'quote']","['drop', 'song', 'together', 'bitch', 'never', 'run', 'quote']",1
14616,"['little', 'bitch']","['little', 'bitch']",1
14617,"['brow', 'hoe', 'brow', 'girlfriend', 'find', 'good', 'girl', 'need', 'put', 'everything']","['brow', 'hoe', 'brow', 'girlfriend', 'find', 'good', 'girl', 'need', 'put', 'everything']",1
14618,"['kissing', 'girl', 'actually', 'really', 'like', 'feel', 'better', 'fucking', 'floppy']","['kissing', 'girl', 'actually', 'really', 'like', 'feel', 'better', 'fucking', 'floppy']",1
14619,"['life', 'bitch', 'harsh', 'enough', 'gun', 'need', 'girl', 'make', 'feel', 'better', 'help', 'relieve', 'stress']","['life', 'bitch', 'harsh', 'enough', 'gun', 'need', 'girl', 'make', 'feel', 'better', 'help', 'relieve', 'stress']",1
14620,"['list', 'bitch', 'want', 'dick']","['list', 'bitch', 'want', 'dick']",1
14621,"['marion', 'monroe', 'biggest', 'time', 'bitch', 'worship', 'like', 'got', 'noble', 'prize', 'fur']","['marion', 'monroe', 'biggest', 'time', 'bitch', 'worship', 'like', 'got', 'noble', 'prize', 'fur']",1
14622,"['bitch', 'as', 'thick', 'flick', 'ever', 'sad', 'movie']","['bitch', 'as', 'thick', 'flick', 'ever', 'sad', 'movie']",1
14623,"['sex', 'st', 'date', 'dont', 'mean', 'waiting', 'day', 'wont', 'make', 'wife', 'cut', 'pick', 'dont', 'mean', 'happy', 'tit']","['sex', 'st', 'date', 'dont', 'mean', 'waiting', 'day', 'wont', 'make', 'wife', 'cut', 'pick', 'dont', 'mean', 'happy', 'tit']",1
14624,"['testing', 'bitch', '12', 'make', 'dream', 'come', 'true']","['testing', 'bitch', '12', 'make', 'dream', 'come', 'true']",1
14625,"['know', 'like']","['know', 'like']",1
14626,"['bitch', 'talk', 'boyfriend', '7']","['bitch', 'talk', 'boyfriend', '7']",1
14627,"['face', 'bitch', 'know', 'sweet', 'real']","['face', 'bitch', 'know', 'sweet', 'real']",1
14628,"['marry', 'realize', 'year', 'later']","['marry', 'realize', 'year', 'later']",1
14629,['realize'],['realize'],1
14630,['pussy'],['pussy'],1
14631,"['said', 'like', 'u', 'got', 'money', 'laugh', 'forget', 'ex', 'bitch', 'aunt', 'broke']","['said', 'like', 'u', 'got', 'money', '😂', 'forget', 'ex', 'bitch', 'aunt', 'broke', '💯']",1
14632,"['love', 'even', 'smoke', 'day', 'bitch', 'gone', 'b', 'turnttt']","['love', 'BFFL', 'even', 'smoke', 'day', 'bitch', 'gone', 'b', 'turnttt', '💙', '😈']",1
14633,"['bitch', 'turned', 'pitched', 'turned']","['bitch', 'turned', 'pitched', 'turned', '👹']",1
14634,"['anna', 'know', 'bitch', 'hygienic', 'par', 'wipe', 'behind', 'bitch', 'ear', 'put', 'nose', 'clinch', 'got']","['anna', 'know', 'bitch', 'hygienic', 'par', 'wipe', 'behind', 'bitch', 'ear', 'put', 'nose', 'clinch', 'got']",1
14635,"['unna', 'bitch', 'take', 'as', 'home']","['unna', 'bitch', 'take', 'as', 'home']",1
14636,"['pink', 'nipple', 'cut', 'looking', 'nasty', 'bitch']","['pink', 'nipple', 'cut', 'looking', 'nasty', 'bitch', '!', '😷']",1
14637,"['light', 'sketch', 'definition', 'kick', 'foot', 'together', 'watch', 'bitch', 'flock', 'sentence', 'blinding', 'bitch']","['light', 'sketch', 'definition', 'kick', 'foot', 'together', 'watch', 'bitch', 'flock', 'sentence', 'blinding', 'bitch']",1
14638,"['candy', 'corn', 'keep', 'candy', 'candy', 'corn', 'trash', 'super', 'trash']","['candy', 'corn', 'keep', 'candy', 'candy', 'corn', 'trash', 'super', 'trash']",1
14639,"['top', 'cartoon', 'bitch', 'id', 'fuck', 'dexter', 'mon', 'old', 'funny', 'jessica', 'rabbit', 'tommy', 'turner', 'mon']","['top', 'cartoon', 'bitch', 'id', 'fuck', 'dexter', 'mon', 'old', 'funny', 'jessica', 'rabbit', 'tommy', 'turner', 'mon']",1
14640,"['beyond', 'seems', 'like', 'bitch']","['beyond', 'seems', 'like', 'bitch']",1
14641,"['got', 'hoe', 'testing', 'instead', 'hoe']","['got', 'hoe', 'testing', 'instead', 'hoe']",1
14642,"['gave', 'head', 'say', 'turn']","['gave', 'head', 'say', 'turn']",1
14643,"['turn', 'early', 'bunch', 'hussy']","['turn', 'early', 'bunch', 'hussy']",1
14644,"['suicide', 'girl', 'hopeful', 'getting', 'job', 'hopeful', 'going', 'school', 'hopeful', 'silly', 'bitch']","['suicide', 'girl', 'hopeful', 'getting', 'job', 'hopeful', 'going', 'school', 'hopeful', 'silly', 'bitch', '!']",1
14645,"['bunch', 'penis', 'timeline', 'literally', 'u', 'want', 'u', 'pussy']","['bunch', 'penis', 'timeline', 'literally', 'u', 'want', 'u', 'pussy']",1
14646,"['early', 'bird', 'catch', 'worm', 'people']","['early', 'bird', 'catch', 'worm', 'people']",2
14647,"['polly', 'ate', 'dad', 'rate', 'ok', 'dad', 'bitch', 'really', 'son', 'lmaooo']","['polly', 'ate', 'dad', 'rate', 'ok', 'dad', 'bitch', 'really', 'son', 'lmaooo']",1
14648,"['make', 'way', 'right', 'trash', 'new', 'season', 'new', 'shoe', 'http']","['make', 'way', 'right', 'trash', 'new', 'season', 'new', 'shoe', 'http']",2
14649,"['bitch', 'internet', 'relationship', 'like', 'lonely']","['bitch', 'internet', 'relationship', 'like', 'lonely']",1
14650,"['bitch', 'lonely', 'female', 'michigan', 'like', 'seagull', 'finding', 'neo', 'come']","['bitch', 'lonely', 'female', 'michigan', 'like', 'seagull', 'finding', 'neo', 'come']",1
14651,"['later', 'need', 'pink', 'as', 'bitch']","['later', 'need', 'GAT', 'pink', 'as', 'bitch']",1
14652,"['wife', 'sort', 'bootscootin', 'singing', 'little', 'le', 'talk', 'lot', 'action', 'ho']","['wife', 'sort', 'bootscootin', 'singing', 'little', 'le', 'talk', 'lot', 'action', '!', 'ho']",2
14653,"['as', 'nigga', 'as', 'nigga', '2']","['as', 'nigga', '😑', 'as', 'nigga', '2']",1
14654,"['night', 'mentally', 'dating', 'female', 'never', 'met', 'instagram', 'double', 'tap', 'ho', 'much', 'mane']","['night', 'mentally', 'dating', 'female', 'never', 'met', 'instagram', 'double', 'tap', 'ho', 'much', 'mane']",1
14655,"['come', 'party', 'wilkie', 'leaving', 'shithole', 'til', 'summfest', 'leaving', 'dis']","['come', 'party', 'wilkie', 'leaving', 'shithole', 'til', 'summfest', 'leaving', 'dis', '!']",1
14656,"['bitch', 'got', 'tucked', 'devoted', 'life', 'lord', 'gutta', 'stand', 'like', 'aunt', 'mad']","['bitch', 'got', 'tucked', 'devoted', 'life', 'lord', 'gutta', 'stand', 'like', 'aunt', 'mad']",1
14657,"['duke', 'taking', 'series', 'aunt', 'cut', 'hussy']","['duke', 'taking', 'series', 'aunt', 'cut', 'hussy']",1
14658,"['bitch', 'anna', 'post', 'thirst', 'trap', 'pay', 'water', 'bill', 'month', 'thirsty']","['bitch', 'anna', 'post', 'thirst', 'trap', 'pay', 'water', 'bill', 'month', 'thirsty']",1
14659,"['night', 'like', 'get', 'time', 'pussy', 'get', 'joke', 'time', 'zero']","['night', 'like', 'get', 'time', 'pussy', 'get', 'joke', 'time', 'zero']",1
14660,"['tripping', 'rock', 'tripping', 'bitch']","['tripping', 'rock', 'tripping', 'bitch']",1
14661,"['bitch', 'love', 'coming', 'public', 'naked']","['bitch', 'love', 'coming', 'public', 'naked', '!', '!', '!']",1
14662,"['hate', 'bitch', 'like', 'deeper', 'deeper', 'bitch', 'u', 'thought', 'spare', 'dick', 'back', 'pocket', 'saving']","['hate', 'bitch', 'like', 'deeper', 'deeper', 'bitch', 'u', 'thought', 'spare', 'dick', 'back', 'pocket', 'saving']",1
14663,"['chocolate', 'pussy', 'favorite', 'candy']","['chocolate', 'pussy', 'favorite', 'candy']",1
14664,"['well', 'damn', 'make', 'single', 'mother', 'finally', 'get', 'pussy', 'garage']","['well', 'damn', 'make', 'single', 'mother', 'finally', 'get', 'pussy', 'garage']",1
14665,"['hoe', 'cook', 'sunday', 'hut']","['hoe', 'cook', 'sunday', 'hut']",1
14666,"['rather', 'see', 'wife', 'happy', 'see', 'naked', 'common', 'sense', 'night', 'treat', 'hoe', 'better', 'one', 'love']","['rather', 'see', 'wife', 'happy', 'see', 'naked', 'common', 'sense', 'night', 'treat', 'hoe', 'better', 'one', 'love']",1
14667,"['night', 'gang', 'trying', 'fit', 'trying', 'get', 'somebody', 'ride', 'em', 'wit', 'u', 'night', 'bitch']","['night', 'gang', 'trying', 'fit', 'trying', 'get', 'somebody', 'ride', 'em', 'wit', 'u', 'night', 'bitch']",1
14668,"['bitch', 'go', 'breaking', 'packet', 'amused']","['bitch', 'go', 'breaking', 'packet', '😒']",1
14669,"['mean', 'faggot']","['mean', 'faggot']",0
14670,"['chris', 'brown', 'bitch', 'everyone', 'talk', 'relationship', 'come', 'two', 'female', 'charlemagne', 'saying', 'sam']","['chris', 'brown', 'bitch', 'everyone', 'talk', 'relationship', 'come', 'two', 'female', 'charlemagne', 'saying', 'sam']",1
14671,"['need', 'hoe', 'man', 'real', 'shit']","['need', 'hoe', 'man', 'real', 'shit']",1
14672,"['every', 'super', 'hero', 'bitch', 'except', 'iron', 'man', 'peter', 'parker', 'biggest', 'lower', 'as', 'nigga', 'bitch', 'cry', 'whip']","['every', 'super', 'hero', 'bitch', 'except', 'iron', 'man', 'peter', 'parker', 'biggest', 'lower', 'as', 'nigga', 'bitch', 'cry', 'whip']",1
14673,"['go', 'talk', 'hoe']","['go', 'talk', 'hoe']",1
14674,"['forgot', 'one', 'letter', 'gun', 'promise', 'illiterate', 'hillbilly', 'sad']","['forgot', 'ONE', 'letter', 'gun', 'promise', 'illiterate', 'hillbilly', '😭']",1
14675,"['dat', 'bitch', 'kate', 'perry', 'suck', 'skin', 'dick']","['dat', 'bitch', 'kate', 'perry', 'suck', 'skin', 'dick']",0
14676,"['finn', 'fly', 'get', 'back', 'make', 'bitch', 'fly', 'like', 'peter', 'pan', 'shit']","['finn', 'fly', '!', 'get', 'back', 'make', 'bitch', 'fly', 'like', 'peter', 'pan', 'shit']",1
14677,"['bitch', 'fuckin', 'mean', 'trying', 'take', 'shit', 'next', 'level']","['bitch', 'fuckin', '!', 'mean', 'trying', 'take', 'shit', 'next', 'level']",1
14678,"['cannon', 'said', 'u', 'hoe', 'wit', 'go']","['cannon', 'said', 'u', 'hoe', 'wit', 'GLO', '!']",1
14679,"['pussy', 'aunt', 'broke', 'turn']","['pussy', 'aunt', 'broke', 'turn', '!']",1
14680,"['nigger', 'get', 'emotional', 'remind', 'bitch']","['nigger', 'get', 'emotional', 'remind', 'bitch', '!']",1
14681,"['ugly', 'bitch', 'loud']","['ugly', 'bitch', 'loud']",1
14682,"['well', 'say', 'tucked', 'hoe', 'made', 'money']","['well', 'say', 'tucked', 'hoe', 'made', 'money']",1
14683,"['part', 'cousin', 'day', 'yankee', 'swap', 'pretty', 'hilarious', 'clever', 'dandy']","['part', 'cousin', 'day', 'yankee', 'swap', 'pretty', 'hilarious', 'clever', 'dandy']",2
14684,"['twenty', 'stressing', 'bitch', 'plain', 'game', 'straight']","['twenty', 'stressing', 'bitch', 'plain', 'game', 'straight']",1
14685,"['nice', 'round', 'voice', 'relation', 'chinaafrica', 'trade', 'oriental', 'allude']","['nice', 'round', 'voice', 'relation', 'chinaafrica', 'trade', 'oriental', 'allude']",2
14686,"['well', 'genoa', 'ultimate', 'faggot', 'got', 'show', 'queer', 'eat']","['well', 'genoa', 'ultimate', 'faggot', 'got', 'show', 'queer', 'eat']",0
14687,"['kid', 'listened', 'showed', 'new', 'perspective', 'coming', 'ghent', 'like', 'limp', 'c']","['kid', 'listened', 'showed', 'new', 'perspective', 'coming', 'ghent', 'like', 'limp', 'c', '👑', '👑', '👑']",2
14688,"['love', 'caleb', 'node', 'leak', 'girl', 'trash', 'body', 'try', 'critique']","['love', 'caleb', 'node', 'leak', 'girl', 'trash', 'body', 'try', 'critique']",1
14689,"['fuck', 'sole', 'fag']","['fuck', 'sole', 'fag']",1
14690,"['take', 'bitch', 'ever', 'really']","['take', 'bitch', 'ever', 'really']",1
14691,"['halloween', 'everyday', 'duke']","['halloween', 'everyday', 'duke']",1
14692,"['gutta', 'fuck', 'ugly', 'bitch', 'town', 'never', 'see', 'work', 'kind', 'sex', 'ga']","['gutta', 'fuck', 'ugly', 'bitch', 'town', 'never', 'see', 'work', 'kind', 'sex', 'ga']",1
14693,"['denis', 'talking', 'big', 'trash', 'lance', 'lesion', 'hold', 'back']","['denis', 'talking', 'big', 'trash', 'lance', 'lesion', 'hold', 'back']",2
14694,"['man', 'aunt', 'appreciating', 'pussy', 'definitely', 'donna', 'end', 'another', 'nigga', 'mouth', 'quote']","['man', 'aunt', 'appreciating', 'pussy', 'DEFINITELY', 'donna', 'end', 'another', 'nigga', 'mouth', 'quote']",1
14695,"['call', 'martin', 'baker', 'uncle', 'tom', 'pity', 'riding', 'majority', 'pure', 'ignorance']","['call', 'martin', 'baker', 'uncle', 'tom', 'pity', 'riding', 'majority', 'pure', 'ignorance']",2
14696,"['great', 'weather', 'hit', 'slope', 'weekend', 'open', 'saturday']","['great', 'weather', 'hit', 'slope', 'weekend', 'open', 'saturday', '!']",2
14697,"['malo', 'bitch', 'called', 'thou', 'strength', 'wait']","['malo', 'bitch', 'called', 'thou', 'strength', 'wait']",1
14698,"['think', 'steubenville', 'rape', 'trial', 'bullshit', 'rolled', 'bitch', 'wanted', 'dick', 'got', 'mad', 'w']","['think', 'steubenville', 'rape', 'trial', 'bullshit', 'rolled', 'bitch', 'wanted', 'dick', 'got', 'mad', 'w']",1
14699,"['say', 'faggot', 'mean', 'someone', 'fucking', 'weak']","['say', 'faggot', 'mean', 'someone', 'fucking', 'weak']",1
14700,"['lmaooo', 'hoe', 'childish', 'sad', 'laugh', 'sad', 'laugh']","['lmaooo', 'hoe', 'childish', '😭', '😂', '😭', '😂']",1
14701,"['sometimes', 'anna', 'upper', 'cut', 'bitch', 'know', 'special', 'ed']","['sometimes', 'anna', 'upper', 'cut', 'bitch', 'know', 'special', 'ed']",0
14702,"['fucking', 'son', 'barber', 'still', 'gutta', 'pay', 'cut', 'pussy', 'back']","['fucking', 'son', 'barber', 'still', 'gutta', 'pay', 'cut', 'pussy', 'back', '!', '😹']",1
14703,"['bitch', 'make', 'mad', 'nigga', 'already']","['bitch', 'make', 'mad', 'nigga', 'already']",1
14704,"['sad', 'sad', 'sad', 'damn', 'twice', 'cool', 'damn', 'bitch']","['😭', '😭', '😭', 'damn', 'twice', 'cool', 'damn', 'bitch']",1
14705,"['boyfriend', 'girlfriend', 'suppose', 'laugh', 'hoe', 'together', 'guy', 'never', 'hoe', 'laughing']","['boyfriend', 'girlfriend', 'suppose', 'laugh', 'hoe', 'together', 'guy', 'never', 'hoe', 'laughing']",1
14706,"['eat', 'pussy', 'mad', 'sad', 'stressed', 'mad', 'whatever', 'shit', 'lay', 'eat', 'pussy']","['eat', 'pussy', 'mad', 'sad', 'stressed', 'mad', 'whatever', 'shit', 'lay', 'eat', 'pussy', '👌', '👅', '💦']",1
14707,"['na', 'star', 'jersey', 'look', 'retarded', 'look', 'like', 'comb', 'nl', 'jersey', 'full', 'jersey']","['NBA', 'star', 'jersey', 'look', 'retarded', 'look', 'like', 'comb', 'NFL', 'jersey', 'FUBU', 'jersey']",1
14708,"['text', 'mean', 'safe', 'come', 'eat', 'pussy', 'reach', 'cream', 'filling', 'flushed']","['text', 'mean', 'safe', 'come', 'eat', 'pussy', 'reach', 'cream', 'filling', '😳']",1
14709,"['malo', 'legal', 'tackle', 'faggot', 'seriously']","['malo', 'legal', 'tackle', 'faggot', 'seriously']",0
14710,"['shut', 'bitch']","['shut', 'bitch']",1
14711,"['anglosaxon', 'calendar', 'november', 'considered', 'first', 'day', 'winter', 'winter', 'day', 'http']","['anglosaxon', 'calendar', 'november', 'considered', 'first', 'day', 'winter', 'winter', 'day', 'http']",2
14712,"['bet', 'pussy', 'smell', 'like', 'dried', 'mystery']","['bet', 'pussy', 'smell', 'like', 'dried', 'mystery']",1
14713,"['bet', 'pussy', 'juice', 'look', 'like', 'spoiled', 'chocolate', 'milk', 'laugh']","['bet', 'pussy', 'juice', 'look', 'like', 'spoiled', 'chocolate', 'milk', '😂']",1
14714,"['bitch', 'lobby', 'plenty', 'bitch', 'lobby']","['bitch', 'lobby', 'plenty', 'bitch', 'lobby']",1
14715,"['perfect', 'vision', 'night', 'hoe', 'clicquot', 'p', 'type', 'party', 'blasting', 'call', 'conde']","['perfect', 'vision', 'night', 'hoe', 'clicquot', 'p', 'type', 'party', 'blasting', 'call', 'conde']",1
14716,"['bunch', 'trapper', 'butt', 'flood', 'internet', 'w', 'trash', 'premise']","['bunch', 'trapper', 'butt', 'flood', 'internet', 'w', 'trash', 'premise']",2
14717,"['drop', 'pussy', 'bitch']","['drop', 'pussy', 'bitch']",1
14718,"['lui', 'pussy', 'smell', 'like', 'refurbished', 'phone']","['lui', 'pussy', 'smell', 'like', 'refurbished', 'phone']",1
14719,"['nigh', 'complaining', 'journal', 'bitch', 'half', 'naked']","['nigh', 'complaining', 'journal', 'bitch', 'half', 'naked']",1
14720,"['party', 'last', 'night', 'p', 'go', 'brow', 'nigh', 'got', 'check', 'chill', 'dancing', 'w', 'bitch']","['party', 'last', 'night', 'p', 'go', 'brow', 'nigh', 'got', 'check', 'chill', 'dancing', 'w', 'bitch']",1
14721,"['fox', 'say', 'bitch']","['fox', 'say', 'bitch']",1
14722,"['big', 'boring', 'cunt', 'kubrats', 'coming']","['big', 'boring', 'cunt', 'kubrats', 'coming']",1
14723,"['fire', 'work', 'pussy', 'popping', 'nigga', 'utf', 'sound', 'like', 'something', 'would', 'say']","['fire', 'work', '💥', 'pussy', 'popping', 'nigga', 'utf', 'sound', 'like', 'something', 'would', 'say']",1
14724,"['bitch', 'as', 'nigh']","['bitch', 'as', 'nigh']",1
14725,"['hate', 'bee', 'man', 'like', 'buzz', 'buzz', 'bitch', 'like', 'ah', 'man', 'aunt', 'done', 'shit']","['hate', 'bee', 'man', 'like', 'buzz', 'buzz', 'bitch', 'like', 'ah', 'man', 'aunt', 'done', 'shit']",1
14726,"['female', 'thirsty', 'attention', 'male', 'pussy']","['female', 'thirsty', 'attention', 'male', 'pussy']",1
14727,"['lady', 'please', 'start', 'grown', 'woman', 'bad', 'bitch', 'gutta', 'grow']","['lady', 'please', 'start', 'grown', 'woman', 'bad', 'bitch', 'gutta', 'grow']",1
14728,"['horrible', 'rapier', 'tea', 'trash', 'rapier', 'ever', 'want', 'yellow', 'nigga', 'corn', 'cob', 'smacked', 'mon', 'heard']","['horrible', 'rapier', 'tea', 'trash', 'rapier', 'ever', 'want', 'yellow', 'nigga', 'corn', 'cob', 'smacked', 'mon', 'heard']",0
14729,"['rose', 'red', 'came', 'green', 'trick', 'treat', 'bitch', 'happy', 'halloween', 'america']","['rose', 'red', 'came', 'green', 'trick', 'treat', 'bitch', 'happy', 'halloween', 'america']",1
14730,"['fellow', 'dress', 'real', 'men', 'halloween', 'cause', 'action', 'like', 'bitch', 'year', 'long', 'america']","['fellow', 'dress', 'real', 'men', 'halloween', 'cause', 'action', 'like', 'bitch', 'year', 'long', 'america']",1
14731,"['ran', 'outside', 'bullet', 'flowing', 'lip', 'shown', 'shotgunned', 'cold', 'one', 'yelled', 'saturday', 'welcome', 'back', 'sexy', 'beast']","['ran', 'outside', 'bullet', 'flowing', 'lip', 'shown', 'shotgunned', 'cold', 'one', 'yelled', 'saturday', 'welcome', 'back', 'sexy', 'beast']",2
14732,"['fat', 'hoe', 'always', 'anna', 'beef', 'somebody', 'need', 'around', 'type', 'beef']","['fat', 'hoe', 'always', 'anna', 'beef', 'somebody', 'need', 'around', 'type', 'beef']",1
14733,"['tennessee', 'even', 'orange', 'like', 'vitamin', 'see', 'yellow', 'laugh', 'laugh', 'laugh']","['tennessee', 'even', 'orange', 'like', 'vitamin', 'see', 'yellow', '😩', '😂', '😂', '😂']",2
14734,"['officially', 'brought', 'flapping', 'football', 'congress', 'pussy', 'sleepy']","['officially', 'brought', 'flapping', 'football', 'congress', 'pussy', '😴']",1
14735,"['ply', 'tell', 'nobody', 'bitch', 'know', 'got', 'man', 'aunt', 'tell', 'nobody']","['ply', 'tell', 'nobody', 'bitch', 'know', 'got', 'man', 'aunt', 'tell', 'nobody', '!']",1
14736,"['bitch', 'aunt', 'got', 'bit', 'sense', 'malo', 'laugh', 'laugh', 'laugh']","['bitch', 'aunt', 'got', 'bit', 'sense', 'malo', '!', '!', '😂', '😂', '😂', '😩', '😩', '😩']",1
14737,"['roommate', 'sex', 'eating', 'ore', 'donna', 'great', 'year', 'kutztown', 'university']","['roommate', 'sex', 'eating', 'ore', 'donna', 'great', 'year', '!', 'kutztown', 'university']",2
14738,"['hoe', 'lie']","['hoe', 'lie']",1
14739,"['make', 'go', 'sleep', 'tucked', 'pipe', 'game', 'trash']","['make', 'go', 'sleep', 'tucked', 'pipe', 'game', 'trash']",1
14740,"['time', 'comeback', 'hussy']","['time', 'comeback', 'hussy']",1
14741,"['gutta', 'know', 'difference', 'good', 'girl', 'good', 'pussy']","['gutta', 'know', 'difference', 'good', 'girl', 'good', 'pussy']",1
14742,"['believe', 'refund']","['believe', 'refund']",1
14743,"['liquor', 'beer', 'clear', 'beer', 'liquor', 'fine', 'bitch']","['liquor', 'beer', 'clear', 'beer', 'liquor', 'fine', 'bitch']",1
14744,"['night', 'really', 'proud', 'hoe', 'many', 'donna', 'bring', 'dirty', 'bitch', 'home']","['night', 'really', 'proud', 'hoe', 'many', 'donna', 'bring', 'dirty', 'bitch', 'home']",1
14745,"['fingering', 'n', 'eating', 'pussy', 'time', 'good']","['fingering', 'n', 'eating', 'pussy', 'time', 'good', '📋', '📝']",1
14746,"['u', 'remember', 'steve', 'blue', 'clue', 'left', 'u', 'bitch', 'as', 'nigga', 'joe']","['u', 'remember', 'steve', 'blue', 'clue', 'left', 'u', 'bitch', 'as', 'nigga', 'joe']",1
14747,"['night', 'world', 'bitch', 'mess', 'friend', 'nigga']","['night', 'world', 'bitch', 'mess', 'friend', 'nigga']",1
14748,"['new', 'vi', 'two', 'yellow', 'bitch']","['new', 'vi', 'two', 'yellow', 'bitch']",1
14749,"['bitch', 'think', 'going']","['bitch', 'think', 'going', '!']",1
14750,"['yeaaahhh', 'like', 'relationship', 'wise', 'like', 'oh', 'ready', 'hugging', 'bitch', 'suppose', 'thus']","['yeaaahhh', 'like', 'relationship', 'wise', 'like', 'oh', 'ready', 'hugging', 'bitch', 'suppose', 'thus', '!']",1
14751,"['iris', 'supporter', 'america', 'jihadis', 'next', 'door']","['ISIS', 'supporter', 'america', 'jihadis', 'next', 'door']",2
14752,"['finally', 'amelie', 'got', 'back', 'bone', 'might', 'like', 'season', 'pussy']","['finally', 'amelie', 'got', 'back', 'bone', 'might', 'like', 'season', 'pussy', '!']",1
14753,"['went', 'college', 'every', 'college', 'got', 'bird', 'class', 'u', 'get', 'friend', 'sign', 'u', 'get', 'class', 'rushed']","['went', 'college', 'every', 'college', 'got', 'bird', 'class', 'u', 'get', 'friend', 'sign', 'u', 'get', 'class', 'rushed']",2
14754,"['took', 'macdonald', 'hoe', 'deserve', 'date']","['took', 'macdonald', 'hoe', 'deserve', 'date']",1
14755,"['make', 'joke', 'someone', 'hate', 'laugh', 'thinking', 'bitch', 'allowed', 'laugh']","['make', 'joke', 'someone', 'hate', 'laugh', 'thinking', 'bitch', 'allowed', 'laugh']",1
14756,"['say', 'hi']","['say', 'hi']",1
14757,"['send', 'snapchats', 'something', 'invited', 'rude', 'as', 'bitch']","['send', 'snapchats', 'something', 'invited', 'rude', 'as', 'bitch']",1
